ts,nav,spot
2023-07-13,70109.2935,379.15
2023-07-14,70050.852,379.07
2023-07-17,70927.9198,382.61
2023-07-18,71641.5177,385.74
2023-07-19,71489.2269,385.65
2023-07-20,68796.2825,376.76
2023-07-21,68668.9494,375.63
2023-07-24,68947.6309,376.23
2023-07-25,69587.6618,378.78
2023-07-26,69312.3438,377.52
2023-07-27,69403.1042,376.62
2023-07-28,70898.0245,383.48
2023-07-31,71077.6045,383.68
2023-08-01,70942.9653,382.79
2023-08-02,68553.5813,374.39
2023-08-03,68432.3401,373.79
2023-08-04,68210.0468,372.04
2023-08-07,69286.3141,375.19
2023-08-08,68316.5539,372.0
2023-08-09,66065.1259,367.91
2023-08-10,66348.0864,368.59
2023-08-11,64761.1958,366.24
2023-08-14,66772.7529,370.35
2023-08-15,65690.5843,366.42
2023-08-16,64182.8799,362.54
2023-08-17,63163.1319,358.58
2023-08-18,62934.8746,358.13
2023-08-21,65787.1995,363.9
2023-08-22,65414.9606,363.38
2023-08-23,67832.6694,369.11
2023-08-24,64460.7482,361.22
2023-08-25,65845.1841,364.02
2023-08-28,66986.6261,366.76
2023-08-29,69941.1021,374.77
2023-08-30,70767.7431,376.86
2023-08-31,71224.7095,377.99
2023-09-01,71133.0303,377.59
2023-09-05,71705.973,378.07
2023-09-06,70650.4505,374.74
2023-09-07,68958.8312,372.06
2023-09-08,69030.6794,372.58
2023-09-11,70791.5206,376.97
2023-09-12,69523.5372,372.79
2023-09-13,70250.9923,374.21
2023-09-14,71440.8772,377.27
2023-09-15,68324.8225,370.81
2023-09-18,68550.4164,370.66
2023-09-19,68719.5111,369.87
2023-09-20,66841.6042,364.54
2023-09-21,64807.4353,357.86
2023-09-22,65081.7868,357.91
2023-09-25,66295.5051,359.61
2023-09-26,64419.3512,354.21
2023-09-27,64749.0215,355.04
2023-09-28,66257.2704,358.01
2023-09-29,66499.3307,358.27
2023-10-02,67922.319,361.26
2023-10-03,65161.9133,354.92
2023-10-04,67027.5267,359.75
2023-10-05,66577.6971,358.69
2023-10-06,69499.7054,364.7
2023-10-09,70409.7728,366.56
2023-10-10,71197.4737,368.59
2023-10-11,72169.891,371.22
2023-10-12,71852.3165,369.93
2023-10-13,69938.2462,365.28
2023-10-16,71690.3229,369.41
2023-10-17,71305.8368,368.2
2023-10-18,69090.7446,363.37
2023-10-19,68370.7875,359.97
2023-10-20,66474.4754,354.6
2023-10-23,66786.4324,355.67
2023-10-24,67795.5201,359.13
2023-10-25,64093.9135,350.34
2023-10-26,61681.9868,343.66
2023-10-27,62481.3869,345.31
2023-10-30,63451.403,349.2
2023-10-31,63760.3162,350.87
2023-11-01,65863.0296,356.96
2023-11-02,67524.7608,363.44
2023-11-03,69138.0814,367.71
2023-11-06,69830.9286,369.21
2023-11-07,71042.513,372.7
2023-11-08,71227.34,372.94
2023-11-09,70494.9928,370.07
2023-11-10,72939.4641,378.39
2023-11-13,72522.9221,377.21
2023-11-14,76537.9323,385.33
2023-11-15,76791.4021,385.62
2023-11-16,77054.3985,385.95
2023-11-17,77104.52,386.04
2023-11-20,79558.9826,390.74
2023-11-21,78282.9425,388.47
2023-11-22,79197.5211,390.06
2023-11-24,78903.8013,389.51
2023-11-27,78817.5192,389.17
2023-11-28,79252.1562,390.19
